Subject ID,Duration,PK OR,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Head Score,Tired Dif,Stress Dif,Annoy Dif,Bored Dif,Distract Dif,Retention OR1,Retention OR2,Retention OR Total,Retention OR %,Retention MC,Retention MC %,Retention Total,Retention Total %,Transfer MC,Transfer MC%,Transfer OR,Transfer OR%,Transfer Total,Transfer Total %,Age ,Gender,Fluency,Native,Relevancy,Animated?,Condition
152,20.21666667,0,3,4,3.333333333,8,5.333333333,3,-2,2,0,-1,-1,1,2,3,0.142857143,9,0.642857143,12,0.342857143,0,0,1,0.090909091,1,0.071428571,20,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
153,12.96666667,0,3,4,2.666666667,4.5,1,4,-1,1,0,0,0,0,0,0,0,9,0.642857143,9,0.257142857,2,0.666666667,4,0.363636364,6,0.428571429,20,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
154,15.01666667,0,0,1,7,5.5,2.666666667,4,-1,0,-1,1,0,0,0,0,0,6,0.428571429,6,0.171428571,1,0.333333333,1,0.090909091,2,0.142857143,20,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
155,19.73333333,0,1,3,2.333333333,7,2,2,-3,-2,-2,-3,-5,0,0,0,0,6,0.428571429,6,0.171428571,2,0.666666667,3,0.272727273,5,0.357142857,19,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
156,17.25,0,9,11,3.666666667,5.5,6,3,-1,3,-2,0,-3,1,1,2,0.095238095,11,0.785714286,13,0.371428571,1,0.333333333,1,0.090909091,2,0.142857143,21,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
157,20.38333333,0,8,10,5,7.5,6.666666667,2,0,0,-1,-1,0,1,2,3,0.142857143,9,0.642857143,12,0.342857143,2,0.666666667,3,0.272727273,5,0.357142857,22,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
158,18.95,0,6,8,8,8,7,2,0,0,-2,-3,-3,0,1,1,0.047619048,8,0.571428571,9,0.257142857,1,0.333333333,2,0.181818182,3,0.214285714,22,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
159,10.65,0,0,1,4.333333333,8.5,5.333333333,3,-1,1,0,-1,-1,0,0,0,0,7,0.5,7,0.2,2,0.666666667,1,0.090909091,3,0.214285714,21,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
160,16.73333333,1,1,4,7,9,5.666666667,3,-1,1,-1,-2,0,1,0,1,0.047619048,11,0.785714286,12,0.342857143,3,1,2,0.181818182,5,0.357142857,21,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
161,13.45,0,6,9,3.333333333,7,7,3,-1,-1,0,0,-4,2,1,3,0.142857143,12,0.857142857,15,0.428571429,3,1,1,0.090909091,4,0.285714286,20,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
162,15.3,0,4,6,8,8,2.333333333,3,-1,1,-1,-2,0,0,2,2,0.095238095,8,0.571428571,10,0.285714286,1,0.333333333,2,0.181818182,3,0.214285714,21,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
